# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
13600000 1.82385
13605000 1.83796
13610000 1.75604
13615000 1.95579
13620000 2.06166
13625000 1.81473
13630000 1.76566
13635000 1.61068
13640000 1.79871
13645000 1.71261
13650000 1.65366
13655000 1.75201
13660000 1.61165
13665000 1.61484
13670000 1.55542
13675000 1.58764
13680000 1.6584
13685000 1.75147
13690000 1.67782
13695000 1.88068
13700000 1.71032
13705000 1.76013
13710000 2.00664
13715000 1.49813
13720000 1.80851
13725000 1.88193
13730000 1.66812
13735000 1.86426
13740000 2.0713
13745000 1.63123
13750000 1.72101
13755000 1.47999
13760000 1.95785
13765000 1.70576
13770000 1.66239
13775000 1.73253
13780000 1.58377
13785000 2.02123
13790000 1.4076
13795000 1.81917
13800000 1.58792
13805000 1.48071
13810000 1.71178
13815000 1.65903
13820000 1.57574
13825000 1.76728
13830000 1.56841
13835000 1.86463
13840000 1.79085
13845000 1.79344
13850000 1.58543
13855000 1.74387
13860000 1.39139
13865000 1.67172
13870000 1.42268
13875000 1.57354
13880000 1.67009
13885000 1.90138
13890000 1.53026
13895000 2.09976
13900000 1.78553
13905000 1.87315
13910000 1.71781
13915000 1.72318
13920000 1.78392
13925000 1.72906
13930000 1.62073
13935000 2.06412
13940000 1.59739
13945000 1.59096
13950000 1.65315
13955000 1.75258
13960000 1.6285
13965000 1.69017
13970000 1.99323
13975000 1.51305
13980000 1.9571
13985000 1.56568
13990000 2.18084
13995000 1.77698
14000000 1.54038
14005000 1.68337
14010000 1.71492
14015000 1.85151
14020000 1.90679
14025000 2.0274
14030000 2.01443
14035000 1.81187
14040000 2.10192
14045000 2.14448
14050000 2.06356
14055000 1.92029
14060000 1.51465
14065000 1.71038
14070000 1.7203
14075000 1.84945
14080000 1.80006
14085000 1.74604
14090000 1.91148
14095000 1.99884
14100000 1.89107
14105000 2.19666
14110000 1.70426
14115000 1.74214
14120000 1.85772
14125000 2.00697
14130000 1.67239
14135000 1.99217
14140000 1.85136
14145000 1.79006
14150000 1.82557
14155000 1.84663
14160000 1.76468
14165000 1.74842
14170000 2.02301
14175000 1.68154
14180000 1.97772
14185000 1.56484
14190000 1.9008
14195000 1.91601
14200000 2.10034
14205000 1.85608
14210000 1.98324
14215000 1.62899
14220000 1.88536
14225000 1.76615
14230000 1.68343
14235000 1.75002
14240000 2.14785
14245000 1.96599
14250000 1.89803
14255000 1.83796
14260000 1.86764
14265000 1.82336
14270000 2.11102
14275000 1.89884
14280000 2.06792
14285000 1.79137
14290000 1.83262
14295000 1.77843
14300000 2.21167
14305000 1.72702
14310000 1.84357
14315000 2.08807
14320000 2.11047
14325000 1.71889
14330000 1.93819
14335000 1.62244
14340000 2.41333
14345000 2.07199
14350000 1.64296
14355000 2.13577
14360000 1.77323
14365000 1.79403
14370000 1.78573
14375000 2.13524
14380000 2.00014
14385000 1.95865
14390000 1.91803
14395000 2.31416
14400000 1.77759
14405000 1.93406
14410000 1.94891
14415000 1.91365
14420000 1.97373
14425000 2.55263
14430000 1.93793
14435000 2.00816
14440000 2.0416
14445000 2.03974
14450000 1.81693
14455000 2.07303
14460000 1.92195
14465000 1.70356
14470000 2.02405
14475000 1.93867
14480000 2.07862
14485000 1.85213
14490000 1.80655
14495000 1.77096
14500000 1.71789
14505000 1.71962
14510000 1.76419
14515000 1.79879
14520000 2.03882
14525000 2.3817
14530000 1.9488
14535000 1.81526
14540000 2.39035
14545000 1.80357
14550000 1.87385
14555000 1.98705
14560000 1.6422
14565000 2.01924
14570000 1.68793
14575000 2.08511
14580000 1.98605
14585000 1.54456
14590000 1.89666
14595000 2.52867
14600000 1.85338
14605000 2.08984
14610000 2.02899
14615000 2.07193
14620000 1.65919
14625000 2.42568
14630000 1.88076
14635000 1.89555
14640000 1.48199
14645000 1.63701
14650000 2.12717
14655000 1.66663
14660000 1.64366
14665000 2.18634
14670000 1.38408
14675000 2.13027
14680000 1.58622
14685000 1.73896
14690000 2.10192
14695000 2.03408
14700000 2.12327
14705000 2.11433
14710000 1.90045
14715000 1.89294
14720000 1.65906
14725000 1.94373
14730000 2.34796
14735000 1.75432
14740000 1.82957
14745000 2.12368
14750000 1.66656
14755000 1.93928
14760000 1.82428
14765000 2.55439
14770000 1.90518
14775000 1.60984
14780000 1.91455
14785000 1.73639
14790000 1.51055
14795000 1.54939
14800000 1.44915
