# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
12000000 200
59 3.51 0 0 0 0.0692308 0 0.0285714 0.853864 0.1 0 0 0.14605 0.256716
60 3.57 0 0 0.121347 0.0769231 0 0.0285714 0.825405 0.12 0 0 0.232267 0.332836
61 3.63 0 0 0.586844 0.115385 0 0.0285714 0.798345 0.14 0 0 0.325966 0.443284
62 3.69 0 0 0.681498 0.161538 3.16715 0.0857143 0.772594 0.16 0 0 0.302663 0.549254
63 3.75 0 0 0.43991 0.192308 0 0.0857143 2.24421 0.22 0 0 0.392117 0.691045
64 3.81 0 0 0.639246 0.238462 0 0.0857143 1.44939 0.26 0 0 0.435844 0.853731
65 3.87 0 0 0.516315 0.276923 0 0.0857143 0.702397 0.28 0 0 0.476692 1.03731
66 3.93 0 0 0.500671 0.315385 0 0.0857143 0.681114 0.3 0 0 0.574991 1.26567
67 3.99 0 0 0.680017 0.369231 0 0.0857143 1.98235 0.36 0 0 0.648977 1.53134
68 4.05 0 0 0.471441 0.407692 1.31457 0.114286 0 0.36 0 0 0.636968 1.8
69 4.11 0 0 1.28178 0.515385 2.55294 0.171429 0.622762 0.38 0 0 1.06521 2.26269
70 4.17 0 0 0.622578 0.569231 1.24 0.2 0.60497 0.4 0 0 1.4587 2.91493
71 4.23 0 0 1.21008 0.676923 0 0.2 1.17586 0.44 0 0 1.36895 3.54478
72 4.29 0 0 1.34454 0.8 0 0.2 1.7148 0.5 0 0 0.94931 3.99403
73 4.35 0 0 1.14424 0.907692 2.27901 0.257143 1.11188 0.54 0 0 0.79447 4.3806
74 4.41 0 0 0.954274 1 1.10871 0.285714 1.08183 0.58 0 0 0.775984 4.76866
75 4.47 0 0 1.23844 1.12308 0 0.285714 0 0.58 0 0 0.816297 5.18806
76 4.53 0 0 0.904387 1.21538 0 0.285714 1.02528 0.62 0 0 0.842902 5.63284
77 4.59 0.782168 0.025 1.17453 1.33846 1.02346 0.314286 0.499323 0.64 0 0 0.911926 6.12687
78 4.65 0 0.025 0.929837 1.43846 3.98887 0.428571 0.486521 0.66 0 0 0.781168 6.56119
79 4.71 1.48564 0.075 0.836583 1.53077 0.971972 0.457143 0.948409 0.7 0 0 0.97071 7.11493
80 4.77 0.724251 0.1 1.2235 1.66923 0 0.457143 2.31175 0.8 0 0 1.0791 7.74627
