# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
389000 420.567 308.328 1.1631
390000 431.543 -954.867 1.16984
391000 427.189 -2162.75 1.15031
392000 422.514 -505.915 1.16095
393000 432.743 -1540.44 1.16194
394000 429.368 -704.138 1.14483
395000 422.178 -679.443 1.17433
396000 426.819 2328.55 1.15765
397000 424.732 133.375 1.16083
398000 429.726 -513.459 1.16081
399000 422.386 -1082.99 1.16558
400000 429.036 -1056.22 1.15657
401000 425.741 244.524 1.16338
402000 418.326 1285.95 1.16181
403000 424.992 726.22 1.15921
404000 429.578 1674.19 1.16532
405000 431.862 949.066 1.16023
406000 424.387 -1196.87 1.1643
407000 425.839 200.178 1.17328
408000 414.251 487.156 1.15571
409000 422.151 -2664.3 1.15441
410000 423.353 90.2356 1.16981
411000 416.706 684.4 1.15866
412000 429.772 611.441 1.15264
413000 432.508 111.921 1.16464
414000 421.802 -450.939 1.16347
415000 413.286 -2155.23 1.15822
416000 416.545 -557.833 1.15466
417000 420.101 -1274.59 1.15447
418000 431.268 122.517 1.14553
419000 419.873 -247.474 1.15101
420000 416.197 -1664.7 1.15007
421000 418.423 769.159 1.15613
422000 410.824 1816.79 1.16625
423000 427.156 -708.648 1.14596
424000 430.057 1016.01 1.15036
425000 420.613 1484.13 1.16
426000 423.357 1588.42 1.14687
427000 427.437 -423.148 1.16936
428000 426.623 1736.54 1.16754
429000 418.86 -1369.46 1.14464
430000 423.387 500.67 1.13485
431000 417.562 -773.913 1.17674
432000 423.063 266.064 1.15616
433000 424.297 -1274.58 1.1621
434000 407.804 -1391.44 1.15658
435000 422.289 -625.472 1.15059
436000 418.287 -2059.67 1.15915
437000 421.145 859.119 1.15677
438000 415.802 -482.939 1.15865
439000 419.418 -373.32 1.16627
440000 429.103 -1276.46 1.17851
441000 416.322 1575.4 1.17536
442000 418.03 171.953 1.15285
443000 424.619 -296.198 1.1661
444000 412.103 677.589 1.15414
445000 405.592 -1736.67 1.16071
446000 416.57 1210.63 1.17799
447000 417.507 -1924.24 1.15238
448000 425.835 77.3506 1.16377
449000 426.649 1403.46 1.15972
450000 417.316 -1950.02 1.15437
451000 418.265 438.189 1.15977
452000 413.464 1415.85 1.16403
453000 421.508 -149.833 1.16027
454000 415.513 -987.381 1.16075
455000 417.916 -1019.31 1.16227
456000 423.584 -169.178 1.14707
457000 408.42 810.057 1.15379
458000 412.251 841.49 1.1405
459000 413.553 385.531 1.13422
460000 414.031 305.879 1.15045
461000 420.085 2484.39 1.17336
462000 412.055 -3377.85 1.15196
463000 408.61 766.799 1.16051
464000 412.852 545.442 1.17268
465000 413.726 1290.54 1.16204
466000 419.636 -1603.21 1.15745
467000 405.062 -4135.2 1.1816
468000 409.226 219.196 1.15757
469000 409.382 -1098.98 1.16328
470000 409.747 -638.036 1.17156
471000 407.657 413.374 1.164
472000 413.561 -1615.2 1.15483
473000 415.003 2341.14 1.1708
474000 403.735 1784.43 1.1761
475000 400.331 1673.26 1.15715
476000 407.044 1799.31 1.16556
477000 408.286 26.7545 1.18129
478000 410.174 -726.568 1.15914
479000 414.854 11.6701 1.16728
480000 413.581 -224.883 1.16207
